Source,Target,Type,Label,Weight
"#stablediffusion","#aiphoto",Undirected,,14
"#aiイラスト","#aiphoto",Undirected,,12
"#aiphoto","#aiphotography",Undirected,,14
"#aiphoto","#aiart",Undirected,,14
"#aiphoto","#aiwaifus",Undirected,,12
"#aiphoto","#aiartwork",Undirected,,12
"#aiphotography","#aiwaifus",Undirected,,12
"#aiphotography","#aiartwork",Undirected,,12
"#aiwaifus","#aiartcommunity",Undirected,,4
"#robotics","#generativeai",Undirected,,2
"#robotics","#chatgpt",Undirected,,2
"#robotics","#gpt4",Undirected,,2
"#openai","#artificialintelligence",Undirected,,4
"#i18n","#community",Undirected,,4
"#writing","#art",Undirected,,4
"#aiart","#aiartist",Undirected,,4
"#aiartwork","#aiartist",Undirected,,4
"#aiartwork","#stablediffusionart",Undirected,,16
"#aiartwork","#oppai",Undirected,,4
"#aiartist","#stablediffusion",Undirected,,4
"#aiartist","#stablediffusionart",Undirected,,4
"#aiartist","#aiartcommunity",Undirected,,4
"#aiartist","#oppai",Undirected,,4
"#stablediffusion","#stablediffusionart",Undirected,,18
"#stablediffusion","#oppai",Undirected,,4
"#stablediffusionart","#aiartcommunity",Undirected,,16
"#stablediffusionart","#oppai",Undirected,,4
"#aiartcommunity","#oppai",Undirected,,4
"#innovation","#futureofwork",Undirected,,8
"#education","#innovation",Undirected,,2
"#chatgpt","#craiyonai",Undirected,,4
"#stablediffusion","#scifiart",Undirected,,4
"#stablediffusion","#midjourney",Undirected,,8
"#aiart","#scifiart",Undirected,,4
"#scifiart","#midjourney",Undirected,,8
"#aistreetwear","#aiイラスト",Undirected,,16
"#aistreetwear","#aiart",Undirected,,20
"#aistreetwear","#art",Undirected,,14
"#aistreetwear","#aiartwork",Undirected,,12
"#art","#aiartwork",Undirected,,8
"#aistreetwear","#stablediffusion",Undirected,,6
"#art","#stablediffusion",Undirected,,4
"#bingimagecreator","#tech",Undirected,,4
"#technocracy","#chatgpt",Undirected,,2
"#technocracy","#craiyonai",Undirected,,6
"#stablediffusion","#generativeai",Undirected,,4
"#stablediffusion","#generativeart",Undirected,,4
"#aiart","#generativeart",Undirected,,8
"#aigenerated","#generativeai",Undirected,,4
"#aigenerated","#generativeart",Undirected,,4
"#generativeai","#generativeart",Undirected,,4
"#stablediffusionart","#aiphotography",Undirected,,2
"#stablediffusionart","#aiphoto",Undirected,,2
"#stablediffusion","#digitalart",Undirected,,12
"#aiartcommunity","#digitalart",Undirected,,16
"#aiartwork","#digitalart",Undirected,,12
"#digitalart","#stablediffusionart",Undirected,,12
"#aiart","#machinelearning",Undirected,,10
"#art","#artificialintelligence",Undirected,,6
"#art","#machinelearning",Undirected,,6
"#digitalart","#artificialintelligence",Undirected,,10
"#digitalart","#machinelearning",Undirected,,10
"#aiart","#scifi",Undirected,,2
"#aiart","#abstractart",Undirected,,6
"#art","#aiartcommunity",Undirected,,4
"#art","#aiartists",Undirected,,2
"#art","#scifi",Undirected,,6
"#art","#abstractart",Undirected,,2
"#digitalart","#aiartists",Undirected,,2
"#digitalart","#scifi",Undirected,,2
"#digitalart","#midjourney",Undirected,,2
"#digitalart","#abstractart",Undirected,,6
"#artificialintelligence","#aiartcommunity",Undirected,,4
"#artificialintelligence","#aiartists",Undirected,,2
"#artificialintelligence","#scifi",Undirected,,2
"#artificialintelligence","#midjourney",Undirected,,2
"#artificialintelligence","#abstractart",Undirected,,6
"#machinelearning","#aiartcommunity",Undirected,,4
"#machinelearning","#aiartists",Undirected,,2
"#machinelearning","#scifi",Undirected,,2
"#machinelearning","#midjourney",Undirected,,2
"#machinelearning","#abstractart",Undirected,,6
"#aiartcommunity","#aiartists",Undirected,,4
"#aiartcommunity","#scifi",Undirected,,4
"#aiartcommunity","#abstractart",Undirected,,4
"#aiartists","#scifi",Undirected,,2
"#aiartists","#abstractart",Undirected,,2
"#scifi","#midjourney",Undirected,,6
"#scifi","#abstractart",Undirected,,2
"#midjourney","#abstractart",Undirected,,2
"#aiart","#aiartistcommunity",Undirected,,4
"#aiartistcommunity","#generativeart",Undirected,,4
"#aiartistcommunity","#digitalart",Undirected,,4
"#generativeart","#digitalart",Undirected,,4
"#openai","#ml",Undirected,,6
"#chatgpt","#ml",Undirected,,6
"#midjourney","#architecture",Undirected,,4
"#tesla","#elonmusk",Undirected,,8
"#tesla","#openai",Undirected,,4
"#gpt4","#midjourney",Undirected,,4
"#gpt4","#art",Undirected,,4
"#gpt4","#scifi",Undirected,,4
"#gpt4","#scifiart",Undirected,,4
"#art","#scifiart",Undirected,,4
"#scifi","#scifiart",Undirected,,4
"#aiartistcommunity","#fantasy",Undirected,,20
"#aiartistcommunity","#music",Undirected,,20
"#fantasy","#music",Undirected,,20
"#socialmedia","#innovation",Undirected,,6
"#socialmedia","#ia",Undirected,,2
"#innovation","#ia",Undirected,,2
"#chatgpt","#gpt",Undirected,,2
"#gpt","#gpt4",Undirected,,2
"#bscgems","#aiart",Undirected,,2
"#bscgems","#midway",Undirected,,2
"#aiart","#midway",Undirected,,2
"#aiartist",0,Undirected,,4
"#aiイラスト",0,Undirected,,16
"#stablediffusion",0,Undirected,,10
0,"#aiwaifus",Undirected,,8
0,"#artwork",Undirected,,6
0,"#aiphoto",Undirected,,2
0,"#oppai",Undirected,,4
"#aiphotography",0,Undirected,,2
"#stablediffusionart",0,Undirected,,6
"#art",0,Undirected,,6
"#midjourney5",0,Undirected,,6
"#midjourney",0,Undirected,,6
"#aiartwork",0,Undirected,,14
0,"#chilloutmix",Undirected,,4
"#aiart",0,Undirected,,32
"#chatgpt",0,Undirected,,6
0,"#aiartcommunity",Undirected,,10
"#gpt","#ml",Undirected,,4
